order_id,customer_name,country_code,phone,date,time,product_id,product_name,amount,payment_mode
ORD001,John Doe,IN,9876543210,2024-01-15,10:30:00,PROD001,Laptop,45000.00,CARD
ORD002,Jane Smith,SG,98765432,2024-01-15,10:45:00,PROD002,Mouse,1500.00,UPI
ORD003,Bob Johnson,US,5551234567,2024-01-15,11:00:00,PROD003,Keyboard,3000.00,NETBANKING
ORD004,Alice Williams,UK,2075551234,2024-01-15,11:15:00,PROD004,Monitor,25000.00,CARD
ORD005,Charlie Brown,IN,8765432109,2024-01-15,11:30:00,PROD005,USB Cable,500.00,CASH
ORD006,Diana Prince,AU,287654321,2024-01-15,11:45:00,PROD006,Headphones,5000.00,CARD
ORD007,Eve Davis,NZ,212345678,2024-01-15,12:00:00,PROD007,Webcam,3500.00,UPI
ORD008,Frank Miller,CA,4165551234,2024-01-15,12:15:00,PROD008,SSD,8000.00,NETBANKING
ORD009,Grace Hopper,FR,145678901,2024-01-15,12:30:00,PROD009,RAM,4000.00,CARD
ORD010,Henry Jones,DE,30123456789,2024-01-15,12:45:00,PROD010,Graphics Card,35000.00,CARD
ORD011,Invalid_Phone,IN,12345,2024-01-15,13:00:00,PROD011,Processor,15000.00,CARD
ORD012,Missing_Date,UK,2075551234,invalid-date,13:15:00,PROD012,Motherboard,12000.00,UPI
ORD013,Bad_Time,US,5551234567,2024-01-15,25:90:00,PROD013,Power Supply,5000.00,NETBANKING
ORD014,Wrong_Payment,IN,9876543210,2024-01-15,13:45:00,PROD014,Case,3000.00,BITCOIN
ORD015,Zero_Amount,SG,98765432,2024-01-15,14:00:00,PROD015,Cooling Fan,0.00,CARD
ORD016,Negative_Amount,AU,287654321,2024-01-15,14:15:00,PROD016,Thermal Paste,-500.00,UPI
ORD001,Duplicate_ID,IN,9876543210,2024-01-15,14:30:00,PROD017,Cable,200.00,NETBANKING
ORD018,Iris White,JP,9087654321,2024-01-15,14:45:00,PROD018,Monitor Stand,2000.00,CARD
ORD019,Jack Black,CH,221234567,2024-01-15,15:00:00,PROD019,Desk Lamp,1500.00,CARD
ORD020,Karen Lee,IN,8765432100,2024-01-15,15:15:00,PROD020,Screen Protector,300.00,UPI
